ax,ay,az,wx,wy,wz
0.893665,0.352075,10.0254,0.179098,0.193309,0.184139
0.578263,0.626088,9.86155,0.181353,0.215894,0.146509
0.780715,0.269609,9.80167,0.19447,0.18576,0.198857
0.908708,0.370416,9.98995,0.164267,0.191228,0.19244
0.989735,0.0397036,10.0948,0.19062,0.185563,0.182893
0.904425,0.666006,10.1546,0.193288,0.196783,0.177548
0.897601,0.555871,9.98021,0.180473,0.169078,0.175257
1.23164,0.493068,10.1234,0.196249,0.193723,0.179044
0.484088,0.295986,10.2574,0.18376,0.184366,0.151708
0.915051,0.442828,10.0264,0.164272,0.198,0.160738
0.800059,0.42176,9.9382,0.174447,0.131742,0.167328
0.658572,0.597574,9.7046,0.167787,0.155264,0.185288
1.41762,0.358872,10.2919,0.194195,0.17895,0.213297
0.892481,0.60949,10.0271,0.205326,0.216207,0.170282
0.512581,0.454957,10.1877,0.179053,0.188179,0.181235
1.09485,0.236201,10.1098,0.212267,0.149587,0.225215
1.01211,0.268363,10.0581,0.178156,0.174384,0.204261
0.989709,0.345046,9.98071,0.176114,0.182349,0.183808
0.967978,0.00509715,10.3096,0.19013,0.19445,0.132769
0.982529,0.964256,9.86921,0.189472,0.1865,0.17825
0.786397,0.682454,10.274,0.185941,0.163908,0.15392
1.22087,-0.0859135,9.67951,0.122202,0.165679,0.162063
1.26343,0.71461,9.85152,0.185572,0.187159,0.205452
0.970393,0.344802,9.91722,0.170262,0.170605,0.19089
0.863986,0.541678,9.80555,0.17379,0.202753,0.164305
0.814251,0.529083,9.82991,0.17823,0.151435,0.183422
0.603842,0.82564,10.1646,0.173103,0.163222,0.2044
0.77506,-0.0537615,10.7567,0.180789,0.21446,0.20066
0.55984,0.145059,9.84288,0.192868,0.196472,0.16526
0.788953,0.388557,10.1251,0.181342,0.16286,0.209571
1.1786,0.496737,10.1703,0.148271,0.170339,0.198
0.811551,0.426811,9.9442,0.206121,0.186663,0.146591
0.712545,0.0454101,9.80851,0.165705,0.182077,0.178472
1.20422,0.519308,9.70233,0.166304,0.169073,0.216065
1.20696,0.743698,9.68983,0.203314,0.204199,0.188483
1.24211,0.774023,9.9586,0.182727,0.202549,0.199552
0.92996,0.5393,10.204,0.15855,0.192829,0.231004
0.823627,0.325687,9.86406,0.205571,0.148003,0.170886
1.20358,0.342359,9.83995,0.190886,0.157745,0.176251
0.629733,0.489612,9.95545,0.149497,0.203316,0.211542
0.65185,0.518618,10.1471,0.192781,0.178399,0.189677
1.09584,0.487905,10.1984,0.200082,0.208035,0.196514
0.763479,0.69726,10.0523,0.186634,0.171047,0.18017
0.791886,0.00120306,10.0255,0.193526,0.176085,0.167427
0.812219,0.240675,10.2482,0.188891,0.173625,0.210008
0.914383,0.404688,10.0749,0.19759,0.176881,0.163566
0.80314,0.43175,9.63934,0.194673,0.227354,0.178894
0.851374,0.969207,10.2426,0.18455,0.17551,0.160785
0.834844,0.430482,10.0812,0.184595,0.192842,0.167214
0.791432,0.315473,10.0172,0.205006,0.19535,0.162065
1.18588,0.250581,10.3222,0.167363,0.190941,0.191219
0.894163,0.41047,10.1452,0.185817,0.197535,0.179832
0.835404,0.491132,9.95378,0.173952,0.212758,0.165049
1.02635,0.497179,9.93668,0.17967,0.178346,0.179649
0.920455,0.263529,10.3572,0.18885,0.198219,0.20361
0.696375,0.608253,9.95707,0.168704,0.227167,0.194526
1.14974,0.649682,9.99779,0.153825,0.188981,0.186266
0.762461,0.303304,9.94368,0.216384,0.196935,0.220865
0.960492,0.387922,9.96962,0.186379,0.154546,0.19673
0.838821,0.243063,9.75335,0.201465,0.164622,0.167557
0.97093,0.372815,9.94293,0.156773,0.178866,0.171903
0.623504,0.734269,10.0236,0.191156,0.186439,0.225314
0.895776,0.375374,9.81204,0.187928,0.213631,0.187018
1.00038,0.450927,9.91781,0.194605,0.198419,0.185715
0.862758,0.634867,9.83807,0.182706,0.187618,0.227185
0.799195,0.384928,10.05,0.220573,0.184741,0.236992
1.133,0.490536,9.94445,0.164151,0.208204,0.14973
0.977515,0.15606,10.3996,0.189406,0.22053,0.239683
0.833995,0.0967284,9.82793,0.23283,0.145851,0.183988
0.799633,0.291832,10.1555,0.20412,0.187859,0.229841
0.745915,0.69189,10.1059,0.201718,0.202205,0.180799
0.681722,0.385084,10.113,0.174627,0.179891,0.179729
1.01459,0.948191,9.78754,0.194599,0.194587,0.224727
0.887108,0.418457,10.0674,0.20841,0.224836,0.240369
1.00072,0.234245,10.2373,0.205045,0.177699,0.153571
0.946671,0.459731,9.8528,0.211506,0.206433,0.171388
1.1121,0.405727,10.3761,0.195017,0.194451,0.192578
0.899284,0.632368,10.0791,0.228975,0.227782,0.218511
1.13506,0.443599,10.0472,0.18341,0.170107,0.182072
0.591964,0.2349,9.99679,0.189589,0.171806,0.209429
0.984448,0.515502,9.82954,0.186947,0.194341,0.183679
1.16381,0.730432,10.0634,0.16691,0.226218,0.189264
0.89519,0.494442,10.3651,0.191839,0.217222,0.182283
0.933135,0.455744,10.0569,0.229071,0.211674,0.199157
1.0102,0.20652,10.5061,0.188576,0.205624,0.220844
1.28935,0.667978,10.3427,0.203688,0.17828,0.206219
1.01028,0.694341,10.1136,0.209198,0.202099,0.217507
1.17146,0.455964,9.99536,0.166777,0.205941,0.168349
1.10015,0.35311,9.62948,0.128738,0.173476,0.207485
1.28981,0.507953,9.7036,0.16867,0.211256,0.210155
0.877879,0.383396,9.83109,0.20471,0.184965,0.199306
0.856579,0.646855,9.92486,0.238175,0.176547,0.202996
1.16377,0.746367,10.2302,0.205436,0.155289,0.168244
0.487029,0.554016,9.8977,0.188083,0.205031,0.187772
