timestamp,x,y,z,vx,vy,vz,ax,ay,az,phi,theta,psi
1542356326.758944521,53.5294,19.9633,-0.88673,-0.539115,1.08261,-0.275112,-0.081639,0.917944,-0.101456,-0.483072,-6.01202,-86.9248
1542356326.807076084,53.5094,20.0081,-0.893365,-0.488503,1.0958,-0.230432,0.0623397,0.957076,-0.193486,-0.466935,-6.00633,-86.9061
1542356326.849879562,53.5025,20.0495,-0.900837,-0.396033,1.11814,-0.205161,0.129679,1.02597,-0.0488032,-0.468032,-5.99376,-86.8526
1542356326.897881638,53.5011,20.1078,-0.910427,-0.288457,1.18345,-0.207842,0.1477,1.06058,-0.106425,-0.48944,-5.98173,-86.801
1542356326.940669755,53.9598,19.8205,-0.845582,-0.222787,1.07282,-0.322021,-0.00187279,0.990901,0.0298651,-0.44622,-5.82114,-87.358
1542356326.988768278,53.9519,19.86,-0.857246,-0.197797,0.982447,-0.284352,-0.145813,0.99043,-0.062224,-0.466338,-5.8356,-87.2982
1542356327.031564908,53.9294,19.9034,-0.878291,-0.358733,1.04726,-0.374584,-0.721475,0.862913,-0.211892,-0.477106,-5.87333,-87.3421
1542356327.079587291,54.0011,19.827,-0.861404,-0.4081,1.05711,-0.407594,-1.00778,0.885615,-0.292292,-0.4672,-6.00088,-87.5462
1542356327.127720267,53.9701,19.8434,-0.86304,-0.550712,0.742845,-0.237654,-1.05399,0.757283,-0.240708,-0.447177,-5.98893,-87.812
1542356327.170462883,54.0307,19.8046,-0.868329,-0.555171,0.784639,-0.279708,-0.892233,1.1768,0.0103991,-0.248766,-6.12051,-87.7573
1542356327.218544652,54.0011,19.8371,-0.884126,-0.6032,0.768283,-0.297781,-0.629799,1.07572,0.106364,-0.160626,-6.07455,-88.2997
1542356327.261288982,54.0557,19.9011,-0.913672,-0.0241332,1.07686,-0.424516,-0.259416,1.29807,-0.0388046,-0.088134,-6.06521,-88.7596
1542356327.309384308,54.084,19.9482,-0.955179,0.106664,1.1071,-0.55349,0.0440445,1.1505,-0.206818,0.0372114,-6.12471,-89.3474
1542356327.357594630,54.3168,19.9566,-1.04667,1.12472,1.02306,-0.640387,-0.0775912,0.91221,-0.19701,0.402801,-6.1796,-90.2495
1542356327.400316369,54.419,19.9595,-0.971396,1.24139,0.814592,-0.106382,-0.0107351,0.588932,-0.234856,0.565866,-6.11601,-90.6942
1542356327.448294479,54.4982,19.9777,-0.880062,1.41272,0.700656,0.0028393,0.137661,0.803558,-0.367822,0.679489,-6.07603,-91.0392
1542356327.491116507,54.5471,19.9953,-0.71768,1.59144,0.558399,0.244647,0.666667,1.03051,-0.210555,0.741888,-6.07179,-91.2663
1542356327.539180385,54.5687,20.0307,-0.437109,1.67612,0.493275,0.775085,0.950357,1.22872,0.0724513,0.819746,-6.11744,-91.5476
1542356327.587249298,54.3277,19.8378,-0.795608,1.8771,0.426175,0.465816,1.36374,1.19761,0.167119,-0.645228,-5.74636,-83.8927
1542356327.630044586,54.3954,19.8628,-0.758061,1.77057,0.529968,0.631536,0.916192,1.03289,-0.307695,-0.682611,-5.78836,-83.8603
1542356327.678109757,54.3982,19.8665,-0.783318,1.75254,0.538121,0.560458,0.337842,0.780125,-0.290788,-0.903255,-5.74319,-83.0371
1542356327.720920685,54.4778,19.9086,-0.7705,1.78869,0.749846,0.436166,-0.236413,0.555859,-0.243221,-1.02333,-5.71674,-82.9724
1542356327.768969104,54.5515,19.9607,-0.78286,1.70447,0.918348,0.154225,-0.473154,0.685823,-0.319491,-0.912745,-5.59683,-83.0561
1542356327.817110818,54.6357,20.0065,-0.773107,1.70591,0.964707,0.162422,-0.308963,0.898441,-0.0917679,-0.979341,-5.46841,-83.128
1542356327.859907903,54.7331,20.0692,-0.748424,1.84683,1.10662,0.169458,0.0962031,1.0133,-0.479851,-1.07775,-5.39366,-83.1501
1542356327.907920575,54.9036,19.9621,-0.811021,1.83809,1.10488,0.0854106,0.00182972,1.34129,-0.00161495,-1.20848,-5.74844,-82.2721
1542356327.950685619,54.9388,20.0333,-0.877724,1.39331,1.41313,-0.635002,-0.0395781,1.40009,0.333074,-1.25349,-5.69634,-82.2323
1542356327.998721943,54.9822,20.1106,-0.927773,1.20949,1.55421,-0.800234,-0.0989031,1.13892,0.143153,-1.04395,-5.75805,-82.2859
1542356328.046868611,55.0297,20.179,-0.971396,1.14236,1.57037,-0.83116,-0.296084,1.18451,-0.0630301,-1.06551,-5.7471,-82.2241
1542356328.089620714,55.0884,20.2593,-1.00661,1.16467,1.68683,-0.855613,-0.192906,1.3558,-0.0196951,-1.06093,-5.74273,-82.1455
1542356328.137734028,55.141,20.3327,-1.04543,1.1633,1.70423,-0.839487,-0.0229406,1.36093,-0.304852,-0.984481,-5.82128,-82.1301
1542356328.180579445,55.1505,20.3139,-1.06301,1.11609,1.28282,-0.747857,-0.0574579,0.67481,-0.704717,-0.869122,-5.90809,-82.0267
1542356328.228500292,55.1952,20.341,-1.11681,1.09569,1.09563,-0.968168,-0.0514976,0.447405,-0.576161,-0.838835,-5.91249,-81.9944
1542356328.271326635,55.2511,20.4206,-1.15946,1.10352,1.22492,-0.938604,-0.0314083,1.08003,0.184873,-0.785226,-5.86904,-82.0056
1542356328.319384390,55.3111,20.525,-1.20638,1.08745,1.44914,-0.926288,-0.0128538,1.54193,0.260255,-0.686975,-5.81328,-81.9466
1542356328.367562858,55.3633,20.5974,-1.25063,1.07582,1.53376,-0.934159,-0.235844,1.69329,-0.15321,-0.646538,-5.84533,-81.9326
1542356328.410274728,55.4121,20.6818,-1.29993,1.07236,1.59091,-1.03989,-0.222069,1.73608,-0.0539589,-0.593254,-5.98483,-81.8585
1542356328.458351171,55.4739,20.7853,-1.35881,1.07839,1.67401,-1.06486,-0.0490113,1.06047,0.110547,-0.544552,-6.21151,-81.8051
1542356328.501138625,55.536,20.8683,-1.41145,1.10795,1.69152,-1.08692,0.303285,0.466077,-0.25785,-0.532075,-6.38222,-81.8015
1542356328.549150717,55.5972,20.9534,-1.46662,1.13481,1.72138,-1.11887,0.364121,0.577035,-0.587914,-0.554399,-6.48977,-81.8239
1542356328.597250917,55.6532,21.0374,-1.52138,1.15842,1.75403,-1.1498,0.436622,0.658581,-0.634817,-0.614467,-6.46629,-81.8543
1542356328.640067783,55.7215,21.1244,-1.57512,1.26672,1.81085,-1.17989,0.402186,0.560852,-0.782757,-0.730126,-6.35745,-81.8831
1542356328.688111789,55.8157,21.2322,-1.65684,1.41272,1.88567,-1.21115,-0.190572,1.06932,-0.425005,-0.912607,-6.20531,-81.912
1542356328.730873643,55.9163,21.3376,-1.79751,1.55816,1.93439,-1.23962,-0.362204,1.7075,0.60852,-1.051,-6.13334,-81.932
1542356328.778951616,56.0305,21.4636,-2.07417,1.58191,2.02238,-1.35933,-0.500907,1.8562,0.78697,-1.04853,-6.17429,-81.9418
1542356328.827055405,56.1534,21.5791,-2.34195,1.55695,2.08083,-1.53597,-0.639077,1.20017,-0.288075,-0.852253,-6.32416,-81.9296
1542356328.869883999,55.99,20.1961,-0.956556,1.93246,1.91666,-1.16431,-0.235853,0.537615,-0.831386,-1.64429,-7.19773,-82.7892
1542356328.917872383,56.1202,20.193,-1.09974,2.32385,0.91054,-2.11735,-0.0576326,0.0873118,-0.865995,-1.59409,-7.31775,-82.7692
1542356328.960685769,56.2335,20.2133,-1.18819,2.43837,0.765173,-2.12376,0.13076,0.12715,-0.444274,-1.34522,-7.16475,-82.6182
1542356329.008710264,56.1324,20.1216,-0.964583,2.37347,0.601913,-1.90084,0.244638,0.703545,-0.106651,-1.51597,-6.2402,-82.7423
1542356329.056887066,56.2599,20.11,-0.976996,2.5148,0.271158,-1.11795,0.377196,1.38519,0.221659,-1.43851,-5.98331,-82.734
1542356329.099663643,56.198,20.1233,-0.935843,2.40966,0.343595,-1.12847,0.365607,2.0085,-0.078224,-1.46516,-6.51959,-82.7534
1542356329.147674801,56.2974,20.1513,-0.96616,2.26125,0.532845,-0.875042,0.475024,1.96772,-0.0645478,-1.4553,-6.53573,-82.778
1542356329.190519192,56.4021,20.171,-1.01693,2.32972,0.546406,-0.994571,0.234399,1.27416,0.0578247,-1.33961,-6.68348,-82.7295
1542356329.238515213,56.5432,20.204,-1.0482,2.48662,0.610757,-0.898782,-0.158026,0.742468,-0.0167124,-1.2674,-6.8091,-82.7001
1542356329.286652440,56.6969,20.2335,-1.08971,2.60098,0.612456,-0.957778,-0.446659,0.363033,-0.554839,-1.31216,-6.77013,-82.7005
1542356329.329449195,56.8355,20.2566,-1.13682,2.70398,0.624125,-1.05939,-0.347857,0.903365,-0.778665,-1.3762,-6.56686,-82.6765
1542356329.377517592,56.9592,20.2866,-1.18288,2.66856,0.703397,-1.03523,-0.220048,1.64166,-0.315637,-1.28005,-6.33502,-82.6726
1542356329.420266162,57.0443,20.2798,-1.21583,2.58146,0.700515,-1.13966,0.0711964,2.33353,0.41141,-1.0739,-6.21,-82.6793
1542356329.468293342,57.0749,20.1659,-1.20877,2.38051,0.389774,-0.997878,0.197968,2.57162,0.755414,-1.04631,-6.17652,-82.6622
1542356329.511099831,56.6965,20.1703,-0.966054,2.15082,0.435777,-1.02479,0.231176,1.68071,0.0726686,-0.612822,-5.34013,-82.9473
1542356329.559163436,56.7761,20.1704,-1.01078,1.90154,0.235427,-0.998906,0.245948,1.01712,-0.670637,-0.631013,-5.5209,-82.9132
1542356329.607247273,56.7835,20.1584,-0.980886,1.84653,0.228541,-1.01252,0.241293,0.4601,-0.814241,-0.457277,-5.17704,-82.9661
1542356329.650046987,56.8628,20.1686,-1.02497,1.84397,0.268196,-1.01802,-0.059682,0.926531,-0.128408,-0.512981,-5.1126,-82.9813
1542356329.698139267,56.9367,20.1604,-1.06425,1.87979,0.305908,-0.982172,-0.173087,1.44745,0.0630519,-0.546775,-5.00916,-83.0321
1542356329.740899646,57.0067,20.1576,-1.09501,1.92774,0.37863,-0.971126,-0.0895848,1.68519,-0.178336,-0.590502,-4.95627,-83.0415
1542356329.788936243,57.0953,20.1724,-1.13282,1.95188,0.472352,-0.968114,-0.296119,1.50944,-0.158414,-0.668517,-4.9771,-83.0241
1542356329.837076507,57.1869,20.1993,-1.17676,1.94856,0.561011,-0.962894,-0.369791,1.29056,0.0942909,-0.697873,-5.0803,-83.0171
1542356329.879848576,57.2693,20.2271,-1.21768,1.94558,0.612025,-0.971536,-0.243084,0.731986,-0.120854,-0.682963,-5.16068,-83.0058
1542356329.927916417,57.363,20.261,-1.26619,1.94908,0.662933,-1.00774,-0.167669,0.601606,-0.487887,-0.651303,-5.17944,-82.9882
1542356329.970683993,57.4501,20.2959,-1.3144,1.96764,0.726549,-1.07034,-0.111129,0.975998,-0.566218,-0.589057,-5.11151,-82.9615
1542356330.018710392,57.5558,20.3414,-1.36497,1.9961,0.809224,-1.10773,-0.0947133,1.17107,-0.159636,-0.505293,-5.02419,-82.903
1542356330.066807854,57.3066,20.2614,-1.11447,1.79012,0.878685,-0.950297,-0.142635,1.16596,0.233969,0.557954,-4.42386,-83.2694
1542356330.109612340,57.3831,20.3,-1.15493,1.78658,0.927225,-0.946535,-0.0828003,1.13398,0.0878818,0.610741,-4.44421,-83.2329
1542356330.157672980,57.4894,20.3311,-1.20228,1.92434,0.864743,-0.968115,-0.163118,0.871703,-0.148927,0.638385,-4.49511,-83.1876
1542356330.200538128,57.4218,20.2827,-1.12451,1.82977,0.85163,-0.894193,-0.043063,0.665834,-0.412354,0.155694,-4.5258,-83.2025
1542356330.248485136,57.4905,20.3149,-1.17459,1.61428,0.78787,-0.973477,0.0166533,0.58161,-0.25794,0.185151,-4.53075,-83.2219
1542356330.296640129,57.5101,20.2927,-1.16583,1.58312,0.772391,-0.932637,0.0346676,0.831447,-0.150223,0.341383,-4.50455,-83.2687
1542356330.339429624,57.5387,20.2814,-1.23084,1.44837,0.477672,-1.08521,-0.0663785,1.12071,-0.168993,0.222393,-4.40621,-83.1861
1542356330.387545759,57.5692,20.2527,-1.31077,1.33191,0.245424,-1.19692,-0.0691439,1.31115,0.279252,0.0940249,-4.33206,-83.1167
1542356330.430246928,57.6261,20.2645,-1.36157,1.32072,0.303822,-1.19258,-0.238556,1.35906,0.105205,0.0433222,-4.35492,-83.1229
1542356330.478308145,57.6852,20.2846,-1.41453,1.2277,0.37139,-1.20534,-0.220319,1.11286,-0.159841,0.000583815,-4.41767,-83.1179
1542356330.526407424,57.7296,20.3032,-1.46766,1.05759,0.416254,-1.23615,-0.139712,0.811491,-0.400518,-0.0372994,-4.47402,-83.121
1542356330.569177548,57.7578,20.3143,-1.51808,0.894611,0.436548,-1.25358,-0.289291,0.847601,-0.257575,-0.0684539,-4.45816,-83.1434
1542356330.617265184,57.7855,20.3283,-1.57847,0.768588,0.478051,-1.2672,-0.322077,1.37536,-0.180409,-0.0869973,-4.38153,-83.1666
1542356330.660067742,57.8181,20.35,-1.63287,0.757858,0.541931,-1.28448,-0.250693,1.49243,-0.403878,-0.0971094,-4.32004,-83.1703
1542356330.708132802,57.8959,20.3421,-1.1041,0.716637,0.557282,-0.762121,-0.468626,1.80817,-0.20302,0.292263,-5.17838,-83.0896
1542356330.750894535,57.9701,20.3597,-1.12258,1.16569,0.551758,-0.614739,-0.50658,1.72531,0.05251,0.308605,-5.22557,-83.0848
1542356330.798921654,58.0392,20.3851,-1.14238,1.29246,0.589458,-0.531508,-0.298522,1.37319,0.095626,0.258253,-5.29816,-83.0263
1542356330.847032866,58.1022,20.4192,-1.16635,1.29067,0.660431,-0.52694,-0.188173,1.14518,-0.315354,0.295583,-5.34779,-83.0165
1542356330.889847251,58.1013,20.3672,-1.10813,1.25873,0.626427,-0.439162,-0.257932,1.16308,-0.397005,0.631725,-5.30066,-82.9983
1542356330.937888306,58.1753,20.3829,-1.11053,1.3982,0.529299,-0.256175,-0.214662,1.33644,-0.268744,0.665382,-5.25732,-82.9901
1542356330.980696550,58.2471,20.3935,-1.11592,1.51625,0.485856,-0.200212,-0.222227,1.42833,-0.0474084,0.585907,-5.22673,-82.905
1542356331.028731762,58.2922,20.3874,-1.0808,1.48487,0.517264,-0.156442,-0.118052,1.19506,0.0182698,0.19307,-4.82563,-83.2641
1542356331.076831135,58.3282,20.4129,-1.05632,1.12802,0.568905,0.145774,-0.108554,1.17302,-0.0817919,0.206975,-4.8501,-83.2386
1542356331.119638863,58.3764,20.4383,-1.05015,1.11802,0.617746,0.141436,-0.233514,1.14094,-0.101345,0.214537,-4.89138,-83.223
1542356331.167716647,58.4529,20.4701,-1.04269,1.29135,0.647617,0.143083,-0.162066,0.904942,-0.101018,0.221304,-4.95491,-83.2185
1542356331.210519968,58.5131,20.4984,-1.03559,1.32261,0.674495,0.144039,-0.129986,0.797782,-0.111743,0.243057,-5.01056,-83.2202
1542356331.258600121,58.5809,20.5247,-1.02395,1.31051,0.635629,0.154693,-0.137229,0.532037,-0.377058,0.27968,-5.0491,-83.2158
1542356331.306617291,58.5332,20.4289,-1.10663,1.25025,0.518986,0.0475169,-0.0915546,0.534774,-0.429396,0.762422,-4.89993,-83.2471
1542356331.349389153,58.5978,20.4029,-1.09978,1.36989,0.0498588,0.0950022,-0.143439,0.715455,-0.163644,0.763902,-4.86967,-83.2553
