x,y,z,vx,vy,vz,phi,theta,psi
-0.125087,0.166351,2.21101,0.0637414,3.33089,3.95171,1.63742,5.96939,5.30792
-0.163376,0.286981,2.13097,0.0819886,3.16694,3.46521,1.70428,5.91489,5.44586
-0.391536,0.192625,2.01623,0.117282,3.43704,3.70607,1.49016,5.97079,5.86123
-0.092535,-0.0327759,1.69233,0.370568,2.40657,3.71217,1.25878,5.93606,5.76183
0.133367,-0.0542795,1.63934,0.487078,1.94489,3.87635,1.41523,6.01944,5.77823
0.115847,-0.0750725,1.41971,0.531641,1.71391,3.40136,1.29204,6.3883,5.76872
0.129767,-0.173409,1.4661,0.54137,1.82829,3.51455,1.02486,6.16061,5.77322
0.245419,-0.393898,1.42894,0.579621,1.49418,3.66155,1.00273,6.48405,6.05519
0.437642,-0.226473,1.39757,0.340379,1.02861,4.38205,1.04985,6.40972,6.22433
0.643026,-0.494989,1.43302,0.551704,1.03698,4.5307,0.884022,6.36213,6.40204
0.498091,-0.384757,1.2171,0.501716,1.23491,4.56376,0.902851,6.68524,6.41363
0.569816,-0.14448,1.14915,0.55518,1.23328,3.93609,0.995719,6.72634,6.52409
0.280697,0.246007,0.957911,0.309448,1.27727,4.10664,0.828227,6.94514,6.44245
0.585865,0.173115,1.06863,0.680466,1.17126,3.78541,1.04734,7.15816,6.12509
0.619734,0.0687108,1.02656,0.814135,0.768618,3.68769,1.07945,7.14902,6.27983
0.553197,0.28801,1.73052,0.557616,0.736179,3.63992,1.01663,7.08774,6.13462
0.668545,0.601434,1.89007,0.195589,0.97671,3.70413,1.24395,7.32702,6.10138
1.14264,0.491356,2.16326,0.172003,1.02571,3.68969,1.66714,7.03168,6.27081
1.18486,0.573128,2.25252,0.0954376,0.876978,3.62085,1.66258,6.79121,6.32446
1.04582,0.637595,2.29678,-0.321599,0.902094,3.81343,1.96603,6.55057,6.14478
1.27738,0.745558,2.31705,-0.216783,0.432128,3.53441,1.98961,6.47486,6.16323
1.1125,0.820683,2.4148,-0.408071,0.368209,3.27701,2.13892,6.48945,5.92344
0.910893,0.571897,2.63113,-0.433903,0.636233,3.55541,2.2247,6.48658,6.13102
1.2476,0.350581,2.87689,-0.512499,0.859723,3.48657,2.21686,6.60427,5.6541
1.00128,0.0626069,3.07784,0.0158402,0.843474,3.1518,2.34882,6.70618,5.82694
0.927508,0.38835,3.36525,-0.259766,1.02258,3.57603,2.28565,6.91962,5.99834
1.15955,0.534685,3.54135,-0.172584,0.950099,3.93371,2.57502,7.20998,6.05779
1.10629,0.696523,3.7281,0.183916,0.638911,4.15427,2.61131,7.03513,6.12284
1.22721,0.728993,3.7962,0.947769,0.393744,4.02838,2.6203,6.92738,6.21102
1.18055,1.09619,3.93581,1.2132,-0.0457967,4.03728,2.55758,6.72042,6.0412
0.975407,1.1758,4.08512,1.601,-0.0598744,4.61313,2.62778,6.45836,6.05734
0.688019,1.02575,4.23067,1.34508,-0.153247,4.76356,2.3739,6.67543,6.15563
0.35134,0.639927,4.25626,1.53155,0.00510934,4.84461,2.45271,6.74763,6.13458
0.502281,0.684055,4.38934,1.71254,-0.125395,4.23984,2.59254,6.86713,6.50275
0.477086,0.870301,4.43,1.50911,-0.127548,4.37459,2.76804,6.58563,6.44102
0.436005,0.936761,4.39662,1.44512,-0.150157,4.50392,2.60926,6.84379,6.53699
0.178578,1.51692,4.73248,1.80611,-0.418888,4.75719,2.75225,6.89464,6.655
-0.00545445,1.23967,4.41661,1.6108,-0.0195322,4.78139,2.85144,6.55005,7.12821
0.0644652,1.3195,4.33261,1.38341,-0.261899,5.10197,2.78001,6.48059,7.38228
-0.270809,1.17551,4.1856,1.5655,-0.551444,4.41329,3.19099,6.65248,7.3099
0.0452226,1.44737,4.39682,1.36334,-0.73697,4.40771,3.35023,6.65243,7.13819
0.108377,1.46487,4.70257,1.64842,-0.43495,4.46115,2.86632,6.68004,7.0817
0.593014,1.43108,4.87673,2.15976,-0.752825,4.33601,2.96527,6.78781,7.11978
0.58159,1.25559,5.13308,1.81019,-1.22463,3.94124,3.21956,7.02756,7.4651
0.683366,1.33744,5.22843,1.75752,-0.835421,4.25358,3.39759,7.18735,7.33284
0.902073,1.2102,5.30931,1.50052,-0.564032,4.43594,3.54616,7.2147,7.73567
1.26701,1.3812,5.39058,1.40037,-0.571858,4.38743,3.45095,7.0135,7.97977
0.869252,1.04282,5.27211,1.75458,-0.907999,4.3997,3.30671,7.18712,7.91728
0.980434,0.966001,5.25047,1.34546,-1.41866,3.65044,3.71922,6.88436,7.76946
1.23916,1.10434,5.04305,1.71621,-1.32238,3.64915,3.81449,7.30608,7.75068
1.41256,1.19916,5.29413,1.91791,-1.28155,3.22086,3.90969,7.26402,7.88292
1.36183,1.27039,5.51282,2.34984,-1.58379,3.20955,4.19931,7.39889,7.96944
1.37679,1.10827,5.45007,1.57533,-1.61516,3.56686,4.16879,7.38694,7.84259
1.2803,1.53416,5.5777,1.60797,-1.4737,3.12205,4.21329,7.44035,8.03182
1.57467,1.6243,5.76476,1.59075,-0.853638,3.02411,4.10616,7.6704,7.64877
1.86369,1.72129,5.71639,1.89926,-1.37116,3.11505,4.30014,7.84029,7.65705
1.80041,1.79625,6.01658,2.14538,-1.88175,2.92197,4.51573,7.91621,7.76307
1.83091,1.53892,6.02207,1.60442,-1.97634,2.70082,4.72259,8.13884,7.74435
1.76188,1.51501,6.06272,1.90741,-1.63417,2.62089,4.69916,7.90855,7.35303
1.9055,1.35279,5.90455,2.04404,-1.69373,2.25694,5.14312,7.79004,7.64326
1.78932,1.31022,5.76903,1.71582,-1.99897,2.03594,5.08253,7.96892,7.70874
1.71269,1.14796,6.041,1.89614,-1.69885,2.14148,5.12011,7.83245,7.68167
1.91509,0.907753,6.15932,2.31427,-1.54726,2.19868,5.04268,8.05562,7.71464
1.77766,0.683167,6.2434,2.50783,-1.21905,2.05759,5.36797,8.00568,7.65582
1.94083,0.7504,6.39744,2.56484,-1.96133,1.69992,5.26164,8.35767,7.77598
2.08311,0.51509,6.63302,2.01991,-1.58432,1.2178,5.32029,8.35457,7.76567
2.3916,0.518477,6.32043,1.85107,-1.34039,0.986724,5.09649,7.71576,8.17406
2.63707,0.577061,6.12825,2.45443,-1.32937,0.525173,4.6704,7.84783,8.25975
2.37388,0.63653,6.30904,2.23568,-1.69116,0.161026,4.90118,7.64998,8.64377
2.2926,1.00145,6.10818,2.57908,-1.27972,0.781783,4.98183,7.92696,8.74637
2.25798,0.968926,6.57754,2.61262,-1.22122,0.5267,4.87716,8.26062,8.40647
2.46074,0.646144,6.69583,2.8836,-1.44989,0.639679,5.03193,8.43533,8.57459
2.41375,0.209531,6.94253,2.62513,-1.41061,0.920404,5.15523,8.55647,8.35677
2.12856,0.149117,6.99588,2.75571,-1.88043,0.587293,4.89848,8.89418,8.44256
2.1783,0.0423754,6.88889,3.05234,-1.49669,0.615137,4.8762,9.00385,8.38288
2.00706,0.225601,6.62273,3.69924,-1.68506,0.657325,4.9668,8.55759,8.73052
