timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542356269.454110691,0,0,0,0,1.30973,0,0,0,0
1542356269.494120976,0,0,0,0,1.30973,0,0,0,0
1542356269.461542000,0.0372902,6.94194,-0.207674,0,0,0,-0.206145,-1.10155,-8.15289
1542356269.554127836,0,0,0,0,1.30973,0,0,0,0
1542356269.562360000,0.100604,7.03744,-0.212374,0,0,0,-0.245883,-1.40713,-9.9271
1542356269.654114969,0,0,0,0,1.25304,0,0,0,0
1542356269.663154000,0.134365,7.16487,-0.199119,0,0,0,-0.28122,-1.39919,-11.5101
1542356269.754125242,0,0,0,0,1.25304,0,0,0,0
1542356269.763947000,0.161628,7.28742,-0.195564,0,0,0,-0.0752093,-1.53492,-13.0314
1542356269.834108290,0,0,0,0,1.0463,0,0,0,0
1542356269.874126704,0,0,0,0,1.0463,0,0,0,0
1542356269.914111273,0,0,0,0,1.0463,0,0,0,0
1542356269.954120429,0,0,0,0,1.0463,0,0,0,0
1542356269.994113988,0,0,0,0,0.86991,0,0,0,0
1542356270.034106142,0,0,0,0,0.86991,0,0,0,0
1542356270.114122886,0,0,0,0,0.86991,0,0,0,0
1542356270.134122992,0,0,0,0,0.86991,0,0,0,0
1542356270.174143114,0,0,0,0,0.86991,0,0,0,0
1542356270.214097241,0,0,0,0,0.839558,0,0,0,0
1542356270.254118329,0,0,0,0,0.839558,0,0,0,0
1542356270.294115135,0,0,0,0,0.839558,0,0,0,0
1542356270.354108141,0,0,0,0,0.839558,0,0,0,0
1542356270.434107978,0,0,0,0,0.824095,0,0,0,0
1542356270.474120637,0,0,0,0,0.824095,0,0,0,0
1542356270.534120374,0,0,0,0,0.824095,0,0,0,0
1542356270.554106728,0,0,0,0,0.824095,0,0,0,0
1542356270.634113697,0,0,0,0,0.759955,0,0,0,0
1542356270.694112479,0,0,0,0,0.759955,0,0,0,0
1542356270.774123911,0,0,0,0,0.759955,0,0,0,0
1542356270.771957000,0.549328,8.01055,-0.208713,0,0,0,-0.377283,-1.70287,-22.9711
1542356270.854114716,0,0,0,0,0.861893,0,0,0,0
1542356270.872751000,0.581125,8.06724,-0.212054,0,0,0,-0.437278,-1.84493,-23.3477
